,Timestamp,Tweet
121,2019-04-13 14:34:29,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
122,2019-04-13 14:34:29,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
123,2019-04-13 14:34:23,RT @NorryBLove: What in homoerotic marvel hell is this??? Yall really out here buying Thanos flesh lights? I need fucking answers!!! https:…
124,2019-04-13 14:34:22,RT @DrAlHammadi_: Thanos after retirement 😂 https://t.co/yiPX3ftQ9Q
125,2019-04-13 14:34:19,"what if we sent spring day to go after yt? spring day could defeat thanos, so this should be nothing for her"
126,2019-04-13 14:34:18,RT @btskolkataarmys: Kolkata Armys #BTSxSpotify our work is still not done yet.... Let's snap bigger than Thanos https://t.co/o6BEygFdIy
127,2019-04-13 14:34:17,"RT @deanslafitte: antman: hey thanos spell ‘me’

thanos: m-e

antman: you forgot the ‘u’

thanos: there is no ‘u’ in me-

antman, shrinking…"
128,2019-04-13 14:34:17,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
129,2019-04-13 14:34:15,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
130,2019-04-13 14:34:12,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
131,2019-04-13 14:34:10,"RT @irregwlar: sicheng: *exists*
taeil:
nct:
nctzens:
winctzens:
thanos:
the avengers:
michael jackson:
world:  https://t.co/JilGmBUGAV"
132,2019-04-13 14:34:09,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
133,2019-04-13 14:34:07,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
134,2019-04-13 14:34:06,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
135,2019-04-13 14:34:06,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
136,2019-04-13 14:34:02,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
137,2019-04-13 14:34:02,RT @jimmykimmel: The cast of @Avengers reads NEW #Thanos children’s book… @MarkRuffalo @ChrisHemsworth #ScarlettJohansson @ChrisEvans @DonC…
138,2019-04-13 14:34:00,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
139,2019-04-13 14:33:55,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
140,2019-04-13 14:33:54,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
141,2019-04-13 14:33:52,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
142,2019-04-13 14:33:51,thanos #CouldDefeatTrump https://t.co/X2ssZ0guNw
143,2019-04-13 14:33:48,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
144,2019-04-13 14:33:44,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
145,2019-04-13 14:33:42,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
146,2019-04-13 14:33:41,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
147,2019-04-13 14:33:40,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
148,2019-04-13 14:33:40,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
149,2019-04-13 14:33:38,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
150,2019-04-13 14:33:37,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
151,2019-04-13 14:33:36,"RT @KgomotsoDithebe: @sir_virgi I wanna choose
B. The Joker , but the Matherfucker will kill me the next morning 😢😂😂😂.
I'll go with D. Than…"
152,2019-04-13 14:33:34,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
153,2019-04-13 14:33:33,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
154,2019-04-13 14:33:29,"RT @adeleoutdid: spoiler alert: 
these four women will defeat thanos. https://t.co/6aiitD9UTZ"
155,2019-04-13 14:33:28,This generation’s legend is Thanos https://t.co/v9TXzqRfrH
156,2019-04-13 14:33:27,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
157,2019-04-13 14:33:25,"@sir_virgi I wanna choose
B. The Joker , but the Matherfucker will kill me the next morning 😢😂😂😂.
I'll go with D. T… https://t.co/o6aiFQNhpg"
158,2019-04-13 14:33:25,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
159,2019-04-13 14:33:25,Paul Rudd Confirms He Doesn’t Want To Go Inside Thanos’ Anus https://t.co/uYs4AW1D3q
160,2019-04-13 14:33:24,"RT @JarvFN: This one pic describes every bad Fortnite patch. You got Thanos, wielding the sword from Polar Peak, and his head looks like a…"
161,2019-04-13 14:33:20,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
162,2019-04-13 14:33:20,"His hair got snapped 

@Thanos why? https://t.co/4deS98cWPK"
163,2019-04-13 14:33:20,@sbell021 Are these unis pre or post Thanos snap?
164,2019-04-13 14:33:15,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
165,2019-04-13 14:33:14,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
166,2019-04-13 14:33:14,Bring me.......a thanos mug!!!!! https://t.co/yWyjL8Tl2b
167,2019-04-13 14:33:10,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
168,2019-04-13 14:33:09,RT @santosrochelle_: taylor swift will defeat thanos https://t.co/YdtnJ4QCIE
169,2019-04-13 14:33:09,"RT @Skylar_Writer: That ain’t a bodyguard. That’s Black Thanos. Blanos, if you will. https://t.co/pM3CCsx5Eb"
170,2019-04-13 14:33:07,RT @allycraze: characters who would defeat Thanos https://t.co/YDvkYB4RrT
171,2019-04-13 14:33:07,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
172,2019-04-13 14:33:04,@sir_virgi @andii_andie Thanos would do
173,2019-04-13 14:32:59,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
174,2019-04-13 14:32:55,@JeeniusYT go commit shaggy kill thanos
175,2019-04-13 14:32:52,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
176,2019-04-13 14:32:52,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
177,2019-04-13 14:32:51,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
178,2019-04-13 14:32:49,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
179,2019-04-13 14:32:44,AND THANOS
180,2019-04-13 14:32:43,RT @rouglack: Dowoon legit called Captain Marvel as “THAT NOONA” and “THANOS HYUNG” asdfghjjklllznzn we stan a super respectful boy!!! 😭😭🤣🤣…
181,2019-04-13 14:32:40,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
182,2019-04-13 14:32:35,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
183,2019-04-13 14:32:35,"@SRKsCupcake Imagine..SRK As Dr Strange👌
Akki - Captain America
Thanos - Sanjay Dutt
Ajay Devgn As Black Panther"
184,2019-04-13 14:32:34,"RT @JarvFN: This one pic describes every bad Fortnite patch. You got Thanos, wielding the sword from Polar Peak, and his head looks like a…"
185,2019-04-13 14:32:33,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
186,2019-04-13 14:32:32,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
187,2019-04-13 14:32:31,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
188,2019-04-13 14:32:31,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
189,2019-04-13 14:32:26,RT @mysterihoes: star wars stans how tf we FEELING https://t.co/QwZEZWpGPk
190,2019-04-13 14:32:25,"RT @mockinghayes: yes, taylor swift will singlehandedly defeat thanos https://t.co/fYFODXghFi"
191,2019-04-13 14:32:23,"RT @90sSugarDaddy: “Thanos is coming”

Hulk:

 https://t.co/lQNgDckES2"
192,2019-04-13 14:32:20,RT @uniquenawesome: Random characters that would defeat thanos https://t.co/eaOpE7F10j
193,2019-04-13 14:32:19,RT @woy: Never even crossed my mind that @taylorswift13 might be the one to destroy Thanos on 04.26.
194,2019-04-13 14:32:18,RT @courtneypochin: Can you believe @taylorswift13 is really going to save the universe from Thanos???? #TaylorSwiftApril26 https://t.co/ev…
195,2019-04-13 14:32:17,"@Cleobatta @MEFCC This this way far from awesomeness , I now think Thanos did kill the wrong half ."
196,2019-04-13 14:32:17,"Actually a fan of Thanos Tbvh. Like I understand mass genocide isn't the answer to the problem of the universe, but… https://t.co/9zIeBvYIUk"
197,2019-04-13 14:32:16,RT @woy: Never even crossed my mind that @taylorswift13 might be the one to destroy Thanos on 04.26.
198,2019-04-13 14:32:15,RT @fabuIoser: taylor swift will defeat thanos on the 26th
199,2019-04-13 14:32:15,RT @9GAG: Ant-man after expanding in Thanos’ butt in #AvengersEndgame https://t.co/Pwd6RCW0Lw
